Account,date,daily_pnl,net_pnl_after_fee,trade_count,avg_trade_size,total_volume,avg_leverage,pnl_std,win_rate,long_ratio,close_ratio,total_fees,fear_greed_value,daily_pnl_roll3,trade_count_roll3,win_rate_roll3,fear_greed_value_roll3,daily_pnl_lag1,win_rate_lag1,pnl_std_lag1,next_day_pnl,profitability_bucket
0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,2024-08-31,0.0,-35.000048,9,11111.126666666667,100000.14,0.5400135551852796,0.0,0.0,0.4444444444444444,0.0,35.000048,29.0,529.9412149999999,1.3333333333333333,0.6666666666666666,31.0,256.464,1.0,0.0,1065.785132,Low Profit
0x47add9a56df66b524d5e2c1993a43cde53b6ed85,2025-01-05,8.594753,4.956907000000004,38,439.9673684210526,16718.76,0.14665578947368418,4.1253234246620805,0.10526315789473684,0.02631578947368421,0.05263157894736842,3.637846,72.0,532.4614176666666,83.0,0.32540993005389285,72.33333333333333,73.451675,0.2631578947368421,16.157620885863043,559.643925,Low Profit
0x8170715b3b381dffb7062c0298972d4727a0a63b,2025-04-13,0.0,-3.839859,18,2222.144444444444,39998.6,0.05182239842454391,0.0,0.0,0.0,0.0,3.839859,45.0,-1662.6362636666665,116.33333333333333,0.1647940074906367,35.666666666666664,0.0,0.0,0.0,3204.26268,High Profit
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2025-02-11,-12346.990829,-12373.5563,124,612.1092741935485,75901.55,0.01727170638243642,294.1185996606131,0.0,0.0,0.0,26.565471,47.0,4962.313418333334,216.66666666666666,0.5903966010348989,66.0,6352.452613,0.4506769825918762,55.0118349778375,355.5854,Low Profit
0x8477e447846c758f5a675856001ea72298fd9cb5,2025-02-14,0.0,-0.892394,10,254.971,2549.71,0.025497186690434697,0.0,0.0,0.0,0.0,0.892394,48.0,179.22118933333363,24.666666666666668,0.4899415204678364,47.666666666666664,181.456277,0.44,13.257305069177905,49.983829,Low Profit
0x75f7eeb85dc639d5e99c78f95393aa9a5f1170d4,2025-03-26,96.945218,86.442025,79,1384.9248101265823,109409.06,0.11160622815313026,4.072583707104332,0.31645569620253167,0.16455696202531644,0.4430379746835443,10.503193,47.0,1688.2820776666667,39.333333333333336,0.9036531795152486,41.0,520.971268,0.896551724137931,29.09911901125281,133.123947,Low Profit
0x8170715b3b381dffb7062c0298972d4727a0a63b,2024-12-30,1211.511836,1210.9437079999998,6,946.8850000000001,5681.31,0.02208220615671637,129.8251221149897,1.0,0.0,1.0,0.568128,65.0,521.919932,11.333333333333334,0.7241379310344828,73.0,768.814445,1.0,161.4575202498714,306.563532,Low Profit
0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,2024-07-06,108.872178,-235.481982,24,103.75708333333334,2490.17,0.005042713770384646,10.03473956812726,0.2916666666666667,0.7083333333333334,0.0,344.35416,26.0,0.0,10.333333333333334,0.0,41.0,0.0,0.0,0.0,61.428942,Low Profit
0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,2025-02-25,0.0,-279.06802658,71,1418.0078873239436,100678.56,0.0689168167627678,0.0,0.0,1.0,0.0,279.06802658,25.0,8468.184824000002,141.0,0.7793508984453869,49.333333333333336,10841.97075,0.6057692307692307,88.80131682596783,0.0,Low Profit
0x8170715b3b381dffb7062c0298972d4727a0a63b,2025-04-09,-4058.8889249999997,-4101.350882,54,8168.482037037037,441098.03,0.19049631616224427,301.6516303131043,0.3333333333333333,0.6296296296296297,0.5370370370370371,42.461957,18.0,5873.900364,24.333333333333332,0.19047619047619047,27.0,0.0,0.0,0.0,4596.960442,High Profit
0x8477e447846c758f5a675856001ea72298fd9cb5,2025-02-07,0.0,-0.582022,6,277.15333333333336,1662.92,0.027715427565786984,0.0,0.0,0.0,0.0,0.582022,44.0,676.288512666667,54.666666666666664,0.3618357487922707,56.666666666666664,554.257954,0.6,40.86191264099051,131.753274,Low Profit
0x430f09841d65beb3f27765503d0f850b8bce7713,2025-04-16,0.0,-9.604321,78,1231.3267948717948,96043.49,0.05460913583784788,0.0,0.0,0.0,0.0,9.604321,29.0,34970.95125333333,147.33333333333334,0.47222222222222227,39.666666666666664,0.0,0.0,0.0,0.0,Low Profit
0x8170715b3b381dffb7062c0298972d4727a0a63b,2025-04-16,912.29492,897.8949990000001,39,3846.1415384615384,149999.52,0.08969546498277838,146.08410126535964,0.02564102564102564,0.0,0.02564102564102564,14.399920999999999,29.0,1068.08756,39.0,0.3333333333333333,42.0,3204.26268,1.0,104.36909999083768,0.0,Low Profit
